20Kb_5End 20Kb_3End Within Within+10Kb
0 0 26000 26000
0 0 0 0
0 7000 7000 7000
23787 0 23214 27000
22089 0 22912 25000
13304 15477 16000 16000
2879 5164 0 0
29000 20313 19663 29000
16001 0 35000 35000
0 804 0 0
4883 4962 0 0
12000 12000 10451 12000
11982 11818 0 1982
7463 917 0 0
0 889 NA 0
0 0 NA 0
0 0 0 0
0 0 0 0
0 0 NA 0
1473 16894 1e+05 1e+05
0 0 0 0
0 20093 102908 103000
0 14876 NA NA
0 0 917000 917000
24170 0 59831 64000
31868 10786 40868 50868
0 14146 0 4146
17000 17000 12452 17000
6257 6485 NA 0
3876 6870 0 0
23000 16714 58445 68445
15001 15001 0 597
17000 17000 14 10684
15846 13471 0 5846
4465 2154 0 0
264 0 0 0
9404 23000 61466 66000
22190 20000 47149 56000
0 0 0 0
0 0 0 0
16000 16000 3584 16000
9083 8886 0 0
33207 14000 56563 68794
0 1553 0 0
12755 13706 NA 2755
0 0 15000 15000
0 40001 130723 140723
15752 0 0 5752
27095 22840 64067 74000
0 1050 149000 149000
0 0 NA 0
0 0 0 0
0 0 48000 48000
0 0 43000 43000
0 18904 0 8904
21180 18405 37821 39000
0 0 0 0
0 0 0 0
0 0 0 0
22298 27477 30227 40000
0 6095 47000 47000
29000 0 18476 28476
26802 24363 20837 32000
0 0 0 0
0 0 0 0
10833 12452 0 2452
23495 6319 29506 33000
17000 17000 16232 17000
0 26499 59502 66000
24154 16571 4154 14154
9001 0 7000 7000
29389 19685 126612 136000
0 0 0 0
0 0 0 0
0 5054 169000 169000
14205 10444 NA 444
20000 20000 NA 16650
0 0 0 0
29498 0 60503 70000
0 0 0 0
0 0 91000 91000
0 0 NA 0
0 0 NA 0
0 0 0 0
30164 21793 40045 51837
14058 14000 83000 83000
0 14000 114000 114000
0 0 0 0
14000 14000 19 10366
0 0 150000 150000
0 0 0 0
19000 19000 7324 19000
12332 3833 0 2332
7030 0 35000 35000
0 9243 11000 11000
28796 30000 218221 237016
14872 27000 19856 27000
3703 20000 15936 20000
0 0 0 0
11000 15443 122966 125000
24784 24910 127 14910
29564 0 73437 83000
0 4887 0 0
10000 0 10000 10000
17000 30047 87263 106954
21025 17154 166976 168000
15000 0 13733 15000
10896 0 15000 15000
25714 18000 46287 52000
14000 14000 8491 14000
13636 20816 816 10816
25853 15000 41148 47000
14001 16000 49000 49000
0 0 0 0
0 0 84000 84000
0 0 0 0
0 0 0 0
21000 5465 81600 89000
0 0 306000 306000
13956 0 31000 31000
0 26974 30027 37000
4427 20618 210383 211000
0 0 0 0
28405 28496 92 18496
34127 22525 57350 69874
13904 0 0 3904
0 26795 28206 35000
13395 24853 31853 41853
26985 39362 16655 33639
0 40001 209520 219520
40001 40001 179 20179
13571 0 584000 587571
0 23136 48865 52000
0 0 0 0
25042 28219 47741 61000
25463 13406 69538 75000
29762 16162 31239 41000
4269 798 0 0
16497 23211 51790 55000
0 26228 28773 35000
